Name,Team,Number,Position,Age,Height,Weight,Salary,Altura_em_Metros
Spencer Dinwiddie,Detroit Pistons,8.0,PG,23.0,6-6,200.0,845059.0,1.98
Andre Drummond,Detroit Pistons,0.0,C,22.0,6-11,279.0,3272091.0,2.11
Tobias Harris,Detroit Pistons,34.0,SF,23.0,6-9,235.0,16000000.0,2.06
Darrun Hilliard,Detroit Pistons,6.0,SF,23.0,6-6,205.0,600000.0,1.98
Reggie Jackson,Detroit Pistons,1.0,PG,26.0,6-3,208.0,13913044.0,1.91
Stanley Johnson,Detroit Pistons,3.0,SF,20.0,6-7,245.0,2841960.0,2.01
Jodie Meeks,Detroit Pistons,20.0,SG,28.0,6-4,210.0,6270000.0,1.93
Marcus Morris,Detroit Pistons,13.0,PF,26.0,6-9,235.0,5000000.0,2.06
Anthony Tolliver,Detroit Pistons,43.0,PF,31.0,6-8,240.0,3000000.0,2.03
Lavoy Allen,Indiana Pacers,5.0,PF,27.0,6-9,255.0,4050000.0,2.06
Rakeem Christmas,Indiana Pacers,25.0,PF,24.0,6-9,250.0,1007026.0,2.06
Monta Ellis,Indiana Pacers,11.0,SG,30.0,6-3,185.0,10300000.0,1.91
Paul George,Indiana Pacers,13.0,SF,26.0,6-9,220.0,17120106.0,2.06
George Hill,Indiana Pacers,3.0,PG,30.0,6-3,188.0,8000000.0,1.91
Jordan Hill,Indiana Pacers,27.0,C,28.0,6-10,235.0,4000000.0,2.08
Solomon Hill,Indiana Pacers,44.0,SF,25.0,6-7,225.0,1358880.0,2.01
Ty Lawson,Indiana Pacers,10.0,PG,28.0,5-11,195.0,211744.0,1.8
Ian Mahinmi,Indiana Pacers,28.0,C,29.0,6-11,250.0,4000000.0,2.11
C.J. Miles,Indiana Pacers,0.0,SF,29.0,6-6,231.0,4394225.0,1.98
Glenn Robinson III,Indiana Pacers,40.0,SG,22.0,6-7,222.0,1100000.0,2.01
Rodney Stuckey,Indiana Pacers,2.0,PG,30.0,6-5,205.0,7000000.0,1.96
Myles Turner,Indiana Pacers,33.0,PF,20.0,6-11,243.0,2357760.0,2.11
Shayne Whittington,Indiana Pacers,42.0,PF,25.0,6-11,250.0,845059.0,2.11
Joe Young,Indiana Pacers,1.0,PG,23.0,6-2,180.0,1007026.0,1.88
Giannis Antetokounmpo,Milwaukee Bucks,34.0,SF,21.0,6-11,222.0,1953960.0,2.11
Jerryd Bayless,Milwaukee Bucks,19.0,PG,27.0,6-3,200.0,3000000.0,1.91
Michael Carter-Williams,Milwaukee Bucks,5.0,PG,24.0,6-6,190.0,2399040.0,1.98
Jared Cunningham,Milwaukee Bucks,9.0,SG,25.0,6-4,195.0,947276.0,1.93
Tyler Ennis,Milwaukee Bucks,11.0,PG,21.0,6-3,194.0,1662360.0,1.91
John Henson,Milwaukee Bucks,31.0,PF,25.0,6-11,229.0,2943221.0,2.11
Damien Inglis,Milwaukee Bucks,17.0,SF,21.0,6-8,246.0,855000.0,2.03
O.J. Mayo,Milwaukee Bucks,3.0,SG,28.0,6-5,210.0,8000000.0,1.96
Khris Middleton,Milwaukee Bucks,22.0,SG,24.0,6-8,234.0,14700000.0,2.03
Greg Monroe,Milwaukee Bucks,15.0,C,26.0,6-11,265.0,16407500.0,2.11
Steve Novak,Milwaukee Bucks,6.0,SF,32.0,6-10,225.0,295327.0,2.08
Johnny O'Bryant III,Milwaukee Bucks,77.0,PF,23.0,6-9,257.0,845059.0,2.06
Jabari Parker,Milwaukee Bucks,12.0,PF,21.0,6-8,250.0,5152440.0,2.03
Miles Plumlee,Milwaukee Bucks,18.0,C,27.0,6-11,249.0,2109294.0,2.11
Greivis Vasquez,Milwaukee Bucks,21.0,PG,29.0,6-6,217.0,6600000.0,1.98
Rashad Vaughn,Milwaukee Bucks,20.0,SG,19.0,6-6,202.0,1733040.0,1.98
Justin Anderson,Dallas Mavericks,1.0,SG,22.0,6-6,228.0,1449000.0,1.98
J.J. Barea,Dallas Mavericks,5.0,PG,31.0,6-0,185.0,4290000.0,1.83
Jeremy Evans,Dallas Mavericks,21.0,SF,28.0,6-9,200.0,1100602.0,2.06
Raymond Felton,Dallas Mavericks,2.0,PG,31.0,6-1,205.0,3950313.0,1.85
Devin Harris,Dallas Mavericks,34.0,PG,33.0,6-3,185.0,4053446.0,1.91
David Lee,Dallas Mavericks,42.0,PF,33.0,6-9,245.0,2085671.0,2.06
Wesley Matthews,Dallas Mavericks,23.0,SG,29.0,6-5,220.0,16407500.0,1.96
JaVale McGee,Dallas Mavericks,11.0,C,28.0,7-0,270.0,1270964.0,2.13
Salah Mejri,Dallas Mavericks,50.0,C,29.0,7-2,245.0,525093.0,2.18
Dirk Nowitzki,Dallas Mavericks,41.0,PF,37.0,7-0,245.0,8333334.0,2.13
Zaza Pachulia,Dallas Mavericks,27.0,C,32.0,6-11,275.0,5200000.0,2.11
Chandler Parsons,Dallas Mavericks,25.0,SF,27.0,6-10,230.0,15361500.0,2.08
Dwight Powell,Dallas Mavericks,7.0,PF,24.0,6-11,240.0,845059.0,2.11
Charlie Villanueva,Dallas Mavericks,3.0,PF,31.0,6-11,232.0,947276.0,2.11
Deron Williams,Dallas Mavericks,8.0,PG,31.0,6-3,200.0,5378974.0,1.91
Trevor Ariza,Houston Rockets,1.0,SF,30.0,6-8,215.0,8193030.0,2.03
Michael Beasley,Houston Rockets,8.0,SF,27.0,6-10,235.0,306527.0,2.08
Patrick Beverley,Houston Rockets,2.0,PG,27.0,6-1,185.0,6486486.0,1.85
Corey Brewer,Houston Rockets,33.0,SG,30.0,6-9,186.0,8229375.0,2.06
Clint Capela,Houston Rockets,15.0,PF,22.0,6-10,240.0,1242720.0,2.08
Sam Dekker,Houston Rockets,7.0,SF,22.0,6-9,230.0,1646400.0,2.06
Andrew Goudelock,Houston Rockets,0.0,PG,27.0,6-3,200.0,200600.0,1.91
James Harden,Houston Rockets,13.0,SG,26.0,6-5,220.0,15756438.0,1.96
Montrezl Harrell,Houston Rockets,35.0,PF,22.0,6-8,240.0,1000000.0,2.03
Dwight Howard,Houston Rockets,12.0,C,30.0,6-11,265.0,22359364.0,2.11
Terrence Jones,Houston Rockets,6.0,PF,24.0,6-9,252.0,2489530.0,2.06
K.J. McDaniels,Houston Rockets,32.0,SG,23.0,6-6,205.0,3189794.0,1.98
Donatas Motiejunas,Houston Rockets,20.0,PF,25.0,7-0,222.0,2288205.0,2.13
Josh Smith,Houston Rockets,5.0,C,30.0,6-9,225.0,947276.0,2.06
Jason Terry,Houston Rockets,31.0,SG,38.0,6-2,185.0,947276.0,1.88
Jordan Adams,Memphis Grizzlies,3.0,SG,21.0,6-5,209.0,1404600.0,1.96
Tony Allen,Memphis Grizzlies,9.0,SG,34.0,6-4,213.0,5158539.0,1.93
Chris Andersen,Memphis Grizzlies,7.0,PF,37.0,6-10,245.0,5000000.0,2.08
Matt Barnes,Memphis Grizzlies,22.0,SF,36.0,6-7,226.0,3542500.0,2.01
Vince Carter,Memphis Grizzlies,15.0,SG,39.0,6-6,220.0,4088019.0,1.98
Mike Conley,Memphis Grizzlies,11.0,PG,28.0,6-1,175.0,9588426.0,1.85
Bryce Cotton,Memphis Grizzlies,8.0,PG,23.0,6-1,165.0,700902.0,1.85
Jordan Farmar,Memphis Grizzlies,4.0,PG,29.0,6-2,180.0,2839073.0,1.88
Marc Gasol,Memphis Grizzlies,33.0,C,31.0,7-1,255.0,19688000.0,2.16
JaMychal Green,Memphis Grizzlies,0.0,PF,25.0,6-9,227.0,845059.0,2.06
P.J. Hairston,Memphis Grizzlies,19.0,SF,23.0,6-6,230.0,1201440.0,1.98
Jarell Martin,Memphis Grizzlies,10.0,PF,22.0,6-10,239.0,1230840.0,2.08
Ray McCallum,Memphis Grizzlies,5.0,PG,24.0,6-3,190.0,2839073.0,1.91
Xavier Munford,Memphis Grizzlies,14.0,PG,24.0,6-3,180.0,2839073.0,1.91
Zach Randolph,Memphis Grizzlies,50.0,PF,34.0,6-9,260.0,9638555.0,2.06
Lance Stephenson,Memphis Grizzlies,1.0,SF,25.0,6-5,230.0,9000000.0,1.96
Alex Stepheson,Memphis Grizzlies,35.0,PF,28.0,6-10,270.0,2839073.0,2.08
Brandan Wright,Memphis Grizzlies,34.0,PF,28.0,6-10,210.0,5464000.0,2.08
Alexis Ajinca,New Orleans Pelicans,42.0,C,28.0,7-2,248.0,4389607.0,2.18
Ryan Anderson,New Orleans Pelicans,33.0,PF,28.0,6-10,240.0,8500000.0,2.08
Omer Asik,New Orleans Pelicans,3.0,C,29.0,7-0,255.0,9213483.0,2.13
Luke Babbitt,New Orleans Pelicans,8.0,SF,26.0,6-9,225.0,1100602.0,2.06
Norris Cole,New Orleans Pelicans,30.0,PG,27.0,6-2,175.0,3036927.0,1.88
Dante Cunningham,New Orleans Pelicans,44.0,PF,29.0,6-8,230.0,2850000.0,2.03
Anthony Davis,New Orleans Pelicans,23.0,PF,23.0,6-10,253.0,7070730.0,2.08
Bryce Dejean-Jones,New Orleans Pelicans,31.0,SG,23.0,6-6,203.0,169883.0,1.98
Toney Douglas,New Orleans Pelicans,16.0,PG,30.0,6-2,195.0,1164858.0,1.88
James Ennis,New Orleans Pelicans,4.0,SF,25.0,6-7,210.0,845059.0,2.01
Tyreke Evans,New Orleans Pelicans,1.0,SG,26.0,6-6,220.0,10734586.0,1.98
Tim Frazier,New Orleans Pelicans,2.0,PG,25.0,6-1,170.0,845059.0,1.85
Alonzo Gee,New Orleans Pelicans,15.0,SF,29.0,6-6,225.0,1320000.0,1.98
Eric Gordon,New Orleans Pelicans,10.0,SG,27.0,6-4,215.0,15514031.0,1.93
Jordan Hamilton,New Orleans Pelicans,25.0,SG,25.0,6-7,220.0,1015421.0,2.01
Jrue Holiday,New Orleans Pelicans,11.0,PG,25.0,6-4,205.0,10595507.0,1.93
Orlando Johnson,New Orleans Pelicans,0.0,SG,27.0,6-5,220.0,55722.0,1.96
Kendrick Perkins,New Orleans Pelicans,5.0,C,31.0,6-10,270.0,947276.0,2.08
Quincy Pondexter,New Orleans Pelicans,20.0,SF,28.0,6-7,220.0,3382023.0,2.01
LaMarcus Aldridge,San Antonio Spurs,12.0,PF,30.0,6-11,240.0,19689000.0,2.11
Kyle Anderson,San Antonio Spurs,1.0,SF,22.0,6-9,230.0,1142880.0,2.06
